Gene,Description,Compartment,Treated_v_Control_FC,Treated_v_Control_pval,Treated_v_Control_adjpval
RPS18,"ribosomal protein, org=Homo sapiens",Ribosome,-1.1465,7.926419e-1,8.875141e-1
RPS19,"ribosomal protein, org=Homo sapiens",Ribosome,-1.2813,2.673950e-1,4.443814e-1
RPS20,"ribosomal protein, org=Homo sapiens",Ribosome,-9.6434,2.547657e-3,1.172731e-2
RPS23,"ribosomal protein, org=Homo sapiens",Ribosome,-1.7465,2.902350e-1,4.676009e-1
RPS24,"ribosomal protein, org=Homo sapiens",Ribosome,1.4308,4.713415e-1,6.372449e-1
RPS25,"ribosomal protein, org=Homo sapiens",Ribosome,1.2896,3.690476e-1,5.433323e-1
RPS26,"ribosomal protein, org=Homo sapiens",Ribosome,-6.9857,7.240771e-5,7.367803e-4
RPS27,"ribosomal protein, org=Homo sapiens",Ribosome,-2.9591,4.028185e-3,1.668820e-2
RPS28,"ribosomal protein, org=Homo sapiens",Ribosome,-3.0509,3.756761e-3,1.567569e-2
RPSA,"ribosomal protein, org=Homo sapiens",Ribosome,-4.4544,9.072064e-4,5.158625e-3
NPM1,"nucleolar protein, org=Homo sapiens",Nucleolus,-2.7182,2.371153e-2,7.060758e-2
NCL,"nucleolar protein, org=Homo sapiens",Nucleolus,-1.9344,1.770379e-1,3.333830e-1
FBL,"nucleolar protein, org=Homo sapiens",Nucleolus,1.2253,5.561719e-1,7.074117e-1
NOP56,"nucleolar protein, org=Homo sapiens",Nucleolus,-2.2473,7.796121e-2,1.794345e-1
NOP58,"nucleolar protein, org=Homo sapiens",Nucleolus,-6.7607,2.436333e-3,1.141311e-2
NOP2,"nucleolar protein, org=Homo sapiens",Nucleolus,-3.8527,7.659291e-5,7.403982e-4
RRS1,"nucleolar protein, org=Homo sapiens",Nucleolus,-10.4828,7.182876e-3,2.722920e-2
DDX21,"nucleolar protein, org=Homo sapiens",Nucleolus,-26.9196,2.245638e-3,1.067598e-2
DDX54,"nucleolar protein, org=Homo sapiens",Nucleolus,-3.4329,6.434604e-3,2.488047e-2
XRN2,"nucleolar protein, org=Homo sapiens",Nucleolus,-1.8552,2.355754e-1,4.140416e-1
POLR1A,"nucleolar protein, org=Homo sapiens",Nucleolus,-5.6323,2.112221e-3,1.012469e-2
POLR1B,"nucleolar protein, org=Homo sapiens",Nucleolus,-4.3373,1.996710e-4,1.544123e-3
UBTF,"nucleolar protein, org=Homo sapiens",Nucleolus,-3.5671,7.192169e-5,7.367803e-4
RRP1,"nucleolar protein, org=Homo sapiens",Nucleolus,-2.5977,1.837471e-1,3.448974e-1
RRP9,"nucleolar protein, org=Homo sapiens",Nucleolus,-4.8072,1.217827e-5,1.938814e-4
BOP1,"nucleolar protein, org=Homo sapiens",Nucleolus,-2.3755,1.887575e-2,5.885987e-2
PES1,"nucleolar protein, org=Homo sapiens",Nucleolus,-3.5854,3.225996e-3,1.385983e-2
WDR12,"nucleolar protein, org=Homo sapiens",Nucleolus,-2.8231,6.302843e-2,1.542468e-1
GNL3,"nucleolar protein, org=Homo sapiens",Nucleolus,-6.7974,1.135113e-2,3.966059e-2
MKI67,"nucleolar protein, org=Homo sapiens",Nucleolus,-1.9969,1.161901e-2,4.035344e-2
NOLC1,"nucleolar protein, org=Homo sapiens",Nucleolus,-3.9778,1.008221e-2,3.654800e-2
TCOF1,"nucleolar protein, org=Homo sapiens",Nucleolus,1.7840,2.577115e-1,4.376620e-1
RPF2,"nucleolar protein, org=Homo sapiens",Nucleolus,1.6555,6.161650e-1,7.441484e-1
UTP20,"nucleolar protein, org=Homo sapiens",Nucleolus,1.1631,8.331342e-1,9.032109e-1
WDR43,"nucleolar protein, org=Homo sapiens",Nucleolus,-42.5061,4.587445e-7,1.662949e-5
DKC1,"nucleolar protein, org=Homo sapiens",Nucleolus,-7.7177,8.622000e-4,4.951247e-3
NHP2,"nucleolar protein, org=Homo sapiens",Nucleolus,-2.6200,7.165622e-3,2.722920e-2
GAR1,"nucleolar protein, org=Homo sapiens",Nucleolus,-5.8934,1.598373e-3,7.973135e-3
HNRNPA1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.2244,5.645982e-1,7.077963e-1
HNRNPA2B1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-2.7591,2.784625e-3,1.242371e-2
HNRNPC,"spliceosomal protein, org=Homo sapiens",Spliceosome,1.0317,9.517747e-1,9.686790e-1
HNRNPK,"spliceosomal protein, org=Homo sapiens",Spliceosome,1.2782,4.474729e-1,6.106689e-1
HNRNPM,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.7744,7.565008e-2,1.762130e-1
HNRNPU,"spliceosomal protein, org=Homo sapiens",Spliceosome,-3.3489,2.134635e-1,3.856972e-1
SRSF1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.5652,4.783343e-1,6.392486e-1
SRSF2,"spliceosomal protein, org=Homo sapiens",Spliceosome,1.5330,1.012056e-1,2.158060e-1
SRSF3,"spliceosomal protein, org=Homo sapiens",Spliceosome,1.1081,6.450838e-1,7.682723e-1
SRSF7,"spliceosomal protein, org=Homo sapiens",Spliceosome,-3.0732,4.606053e-2,1.192639e-1
SF3B1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.7605,1.500192e-1,2.969663e-1
SF3B2,"spliceosomal protein, org=Homo sapiens",Spliceosome,-15.2427,2.334274e-7,1.041445e-5
SF3A1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.4555,3.693214e-1,5.433323e-1
SNRPD1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.4551,1.669629e-1,3.227949e-1
SNRPD2,"spliceosomal protein, org=Homo sapiens",Spliceosome,-3.2348,1.947673e-2,5.954820e-2
SNRPD3,"spliceosomal protein, org=Homo sapiens",Spliceosome,-3.1309,9.983460e-2,2.144595e-1
SNRPB,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.9101,8.001805e-2,1.831782e-1
SNRNP200,"spliceosomal protein, org=Homo sapiens",Spliceosome,-5.1468,1.373210e-3,7.240562e-3
PRPF8,"spliceosomal protein, org=Homo sapiens",Spliceosome,-4.5719,1.250626e-3,6.716325e-3
PRPF19,"spliceosomal protein, org=Homo sapiens",Spliceosome,-2.8388,2.699571e-3,1.213761e-2
EFTUD2,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.7740,3.570300e-2,9.814096e-2
U2AF1,"spliceosomal protein, org=Homo sapiens",Spliceosome,-2.4583,2.595987e-1,4.389716e-1
U2AF2,"spliceosomal protein, org=Homo sapiens",Spliceosome,-2.1855,3.566073e-2,9.814096e-2
RBM8A,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.9565,7.615493e-2,1.766794e-1
MAGOH,"spliceosomal protein, org=Homo sapiens",Spliceosome,-3.5536,3.444501e-2,9.604859e-2
DDX5,"spliceosomal protein, org=Homo sapiens",Spliceosome,-1.0692,9.467347e-1,9.684411e-1
DDX17,"spliceosomal protein, org=Homo sapiens",Spliceosome,-6.1312,4.145117e-6,8.290233e-5
CALR,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.7746,5.724276e-2,1.437264e-1
CANX,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.2969,3.065330e-1,4.805111e-1
HSPA5,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.1172,7.832842e-1,8.793162e-1
PDIA3,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.3016,3.026824e-1,4.802863e-1
PDIA4,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.1116,8.174693e-1,8.947511e-1
PDIA6,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,3.6218,1.395854e-2,4.652847e-2
P4HB,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.4444,2.496682e-1,4.284247e-1
SEC61A1,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.9093,3.596579e-2,9.839696e-2
SEC61B,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.1449,7.168766e-1,8.292180e-1
SEC23A,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.0286,9.486921e-1,9.686790e-1
SEC24C,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.4385,1.687422e-1,3.246612e-1
SEC31A,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.3022,4.669099e-1,6.327284e-1
SRPRA,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.5126,2.368654e-1,4.146129e-1
SRPRB,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.7958,3.212467e-1,4.995257e-1
DDOST,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.7756,2.207318e-1,3.927130e-1
RPN1,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.2792,6.935748e-1,8.107175e-1
RPN2,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-2.3627,8.628147e-2,1.917366e-1
STT3A,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-2.4347,8.231614e-2,1.844545e-1
EDEM1,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.4587,5.960440e-2,1.483715e-1
DNAJB11,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,2.7059,7.434771e-2,1.738777e-1
HYOU1,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.0902,8.515472e-1,9.129342e-1
ERO1A,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.3744,5.775688e-1,7.149686e-1
TMED2,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.6315,1.489921e-1,2.959433e-1
TMED10,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.3698,3.998305e-1,5.754384e-1
ATL3,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.0362,9.123525e-1,9.432521e-1
RTN4,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.3261,6.822528e-1,8.026503e-1
REEP5,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.2598,4.197737e-1,5.952781e-1
VAPA,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.1007,8.110269e-1,8.947511e-1
VAPB,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.2420,7.006587e-1,8.160282e-1
SEL1L,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.6126,1.919780e-2,5.922725e-2
DERL1,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.9231,1.329411e-1,2.724587e-1
VCP,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.4278,2.672569e-1,4.443814e-1
UGGT1,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.0506,9.256680e-1,9.525041e-1
TXNDC5,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,1.6171,1.863572e-1,3.475472e-1
ERP44,"endoplasmic reticulum protein, org=Homo sapiens",Endoplasmic reticulum,-1.2778,5.781384e-1,7.149686e-1
GOLGA2,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.1651,6.239522e-1,7.499097e-1
GOLGB1,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.1308,6.882320e-1,8.064133e-1
GOLPH3,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.6139,7.389643e-2,1.735220e-1
GOSR2,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.1139,8.073662e-1,8.936496e-1
STX5,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.0066,9.889586e-1,9.958264e-1
TGOLN2,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.0021,9.934105e-1,9.963330e-1
B4GALT1,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.0533,8.203085e-1,8.947511e-1
MAN2A1,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.1306,7.466886e-1,8.525984e-1
MAN1A1,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.0242,9.335309e-1,9.583149e-1
ARF1,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.0310,9.177565e-1,9.471508e-1
ARF4,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.1020,8.797081e-1,9.310779e-1
COPB1,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.5158,2.704220e-1,4.474822e-1
COPB2,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.4311,1.029416e-1,2.179055e-1
COPA,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.2297,5.520947e-1,7.053229e-1
COPG1,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.2330,4.311965e-1,6.017096e-1
ARCN1,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.4985,2.708039e-1,4.474822e-1
COPE,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.1014,7.256698e-1,8.367564e-1
GGA1,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.9615,2.672068e-1,4.443814e-1
GOLIM4,"Golgi apparatus protein, org=Homo sapiens",Golgi,1.9127,1.129270e-2,3.966059e-2
ACBD3,"Golgi apparatus protein, org=Homo sapiens",Golgi,-1.2162,4.807638e-1,6.395482e-1
PSMA1,"proteasome subunit, org=Homo sapiens",Proteasome,-1.7368,2.766228e-2,8.022060e-2
PSMA2,"proteasome subunit, org=Homo sapiens",Proteasome,-1.0439,8.864561e-1,9.318992e-1
PSMA3,"proteasome subunit, org=Homo sapiens",Proteasome,1.0808,9.013321e-1,9.413728e-1
PSMA4,"proteasome subunit, org=Homo sapiens",Proteasome,-1.1260,7.427363e-1,8.513579e-1
PSMA5,"proteasome subunit, org=Homo sapiens",Proteasome,-1.1385,5.774743e-1,7.149686e-1
PSMA6,"proteasome subunit, org=Homo sapiens",Proteasome,2.9224,6.746825e-5,7.114833e-4
PSMA7,"proteasome subunit, org=Homo sapiens",Proteasome,1.6320,4.781303e-1,6.392486e-1
PSMB1,"proteasome subunit, org=Homo sapiens",Proteasome,-1.5137,1.516305e-1,2.981209e-1
PSMB2,"proteasome subunit, org=Homo sapiens",Proteasome,-1.6814,2.452784e-1,4.221409e-1
PSMB3,"proteasome subunit, org=Homo sapiens",Proteasome,1.0978,7.467790e-1,8.525984e-1
PSMB4,"proteasome subunit, org=Homo sapiens",Proteasome,-1.0635,9.106976e-1,9.432521e-1
PSMB5,"proteasome subunit, org=Homo sapiens",Proteasome,-3.6159,3.400651e-2,9.574649e-2
PSMB6,"proteasome subunit, org=Homo sapiens",Proteasome,2.2885,3.628495e-2,9.867857e-2
PSMB7,"proteasome subunit, org=Homo sapiens",Proteasome,-1.9160,2.961792e-1,4.745412e-1
PSMC1,"proteasome subunit, org=Homo sapiens",Proteasome,-1.8492,1.203098e-1,2.510062e-1
PSMC2,"proteasome subunit, org=Homo sapiens",Proteasome,1.1212,8.191479e-1,8.947511e-1
PSMC3,"proteasome subunit, org=Homo sapiens",Proteasome,1.0852,8.776000e-1,9.305448e-1
PSMC4,"proteasome subunit, org=Homo sapiens",Proteasome,1.4946,3.393899e-1,5.235269e-1
PSMC5,"proteasome subunit, org=Homo sapiens",Proteasome,-1.2354,4.036376e-1,5.794797e-1
PSMC6,"proteasome subunit, org=Homo sapiens",Proteasome,-1.1607,6.171299e-1,7.441484e-1
PSMD1,"proteasome subunit, org=Homo sapiens",Proteasome,-1.2482,6.869462e-1,8.064133e-1
PSMD2,"proteasome subunit, org=Homo sapiens",Proteasome,1.4758,2.764221e-1,4.554682e-1
PSMD3,"proteasome subunit, org=Homo sapiens",Proteasome,1.1598,8.313756e-1,9.032109e-1
PSMD6,"proteasome subunit, org=Homo sapiens",Proteasome,-1.3531,4.581802e-1,6.223525e-1
PSMD11,"proteasome subunit, org=Homo sapiens",Proteasome,1.1758,5.654943e-1,7.077963e-1
PSMD12,"proteasome subunit, org=Homo sapiens",Proteasome,-1.0719,8.546607e-1,9.145816e-1
PSMD14,"proteasome subunit, org=Homo sapiens",Proteasome,1.6918,8.116688e-2,1.831782e-1
PSME1,"proteasome subunit, org=Homo sapiens",Proteasome,1.1507,6.560943e-1,7.797842e-1
PSME2,"proteasome subunit, org=Homo sapiens",Proteasome,1.7632,3.423609e-1,5.247694e-1
ADRM1,"proteasome subunit, org=Homo sapiens",Proteasome,-1.5071,4.519732e-1,6.153625e-1
ACTB,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.1609,7.177024e-1,8.292180e-1
ACTG1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.5953,1.802784e-2,5.713742e-2
TUBA1A,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.6792,5.537101e-2,1.402410e-1
TUBA1B,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.0904,9.022327e-1,9.413728e-1
TUBA4A,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.3559,2.416310e-1,4.195987e-1
TUBB,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.8826,1.762824e-1,3.333830e-1
TUBB4B,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-2.2911,1.450869e-1,2.893649e-1
TUBB6,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.4079,2.090333e-1,3.817941e-1
VIM,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.0971,6.774519e-1,7.986222e-1
MYH9,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.4926,2.048116e-1,3.764432e-1
MYH10,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.3384,2.109437e-1,3.835339e-1
MYL6,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.2259,4.802862e-1,6.395482e-1
MYL12B,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-2.7901,8.931587e-2,1.955988e-1
TPM1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.2069,5.052254e-1,6.674960e-1
TPM3,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.4214,3.773284e-1,5.484974e-1
TPM4,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,2.0834,1.396045e-1,2.831141e-1
CFL1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.4505,8.783918e-2,1.944532e-1
PFN1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.3204,2.572681e-1,4.376620e-1
ARPC1B,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.2713,6.244938e-1,7.499097e-1
ARPC2,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.1035,7.175870e-1,8.292180e-1
ARPC3,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.2321,3.911804e-1,5.643897e-1
ARPC5,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.2734,4.406340e-1,6.041789e-1
ACTR2,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.0456,9.262281e-1,9.525041e-1
ACTR3,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-3.3327,8.113853e-2,1.831782e-1
CAPZA1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.4172,4.223939e-1,5.960790e-1
CAPZA2,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.2000,3.543314e-1,5.324151e-1
CAPZB,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.1975,5.157712e-1,6.737552e-1
FLNA,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.0850,8.194381e-1,8.947511e-1
FLNB,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.1050,6.707527e-1,7.923351e-1
SPTAN1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.4751,2.093285e-1,3.817941e-1
SPTBN1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.1952,3.424478e-1,5.247694e-1
PLEC,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.4978,2.393219e-1,4.168369e-1
KRT8,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.4579,3.656638e-1,5.433323e-1
KRT18,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.0749,9.108380e-1,9.432521e-1
GSN,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.7783,1.699729e-1,3.253607e-1
TLN1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.1560,7.752744e-1,8.748233e-1
VCL,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.3739,2.373301e-1,4.146129e-1
ZYX,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.3061,7.134246e-1,8.292180e-1
PXN,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,2.6516,4.523489e-2,1.176513e-1
ACTN1,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.1741,4.376962e-1,6.017096e-1
ACTN4,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.1949,7.332211e-1,8.421153e-1
MYO1C,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.4886,4.140460e-1,5.900409e-1
DSTN,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.8462,1.907900e-2,5.917550e-2
TWF2,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,-1.4679,5.074891e-1,6.689629e-1
CORO1C,"cytoskeletal protein, org=Homo sapiens",Cytoskeleton,1.3169,4.212894e-1,5.959704e-1
GAPDH,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.2244,5.612949e-1,7.077963e-1
ENO1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.2316,3.804636e-1,5.502965e-1
ENO2,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.2856,2.811538e-1,4.596777e-1
PKM,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.4325,1.765160e-1,3.333830e-1
PGK1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.0508,8.866393e-1,9.318992e-1
ALDOA,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.0531,9.095324e-1,9.432521e-1
ALDOC,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.1940,5.854478e-1,7.209336e-1
TPI1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.2567,3.525059e-1,5.324151e-1
PGAM1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.6403,8.936840e-2,1.955988e-1
LDHA,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.6712,1.851555e-1,3.464200e-1
LDHB,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.5001,4.355232e-1,6.017096e-1
HK1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.7143,9.341875e-2,2.036950e-1
HK2,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.2232,6.171206e-1,7.441484e-1
PFKP,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.4281,3.447192e-1,5.247694e-1
PFKL,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.4231,4.267609e-1,6.007799e-1
GPI,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.3826,1.767871e-1,3.333830e-1
PYGL,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.3782,2.507786e-1,4.290608e-1
PYGB,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.3519,4.377956e-1,6.017096e-1
G6PD,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.4069,5.993634e-1,7.318542e-1
TALDO1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,2.0324,3.433858e-1,5.247694e-1
TKT,"glycolytic enzyme, org=Homo sapiens",Glycolysis,-1.1632,6.947011e-1,8.107175e-1
PGD,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.4479,2.867780e-1,4.643336e-1
FBP1,"glycolytic enzyme, org=Homo sapiens",Glycolysis,1.6981,1.328316e-2,4.479206e-2
HSPA8,"molecular chaperone, org=Homo sapiens",Chaperone,2.6383,7.119648e-2,1.706362e-1
HSPA1A,"molecular chaperone, org=Homo sapiens",Chaperone,1.3896,5.662370e-1,7.077963e-1
HSPA4,"molecular chaperone, org=Homo sapiens",Chaperone,-2.8027,2.244339e-1,3.977019e-1
HSP90AA1,"molecular chaperone, org=Homo sapiens",Chaperone,-1.1450,8.153934e-1,8.947511e-1
HSP90AB1,"molecular chaperone, org=Homo sapiens",Chaperone,1.1890,5.520976e-1,7.053229e-1
HSP90B1,"molecular chaperone, org=Homo sapiens",Chaperone,1.7858,1.005670e-1,2.152356e-1
HSPB1,"molecular chaperone, org=Homo sapiens",Chaperone,1.6990,6.662016e-2,1.616724e-1
CCT2,"molecular chaperone, org=Homo sapiens",Chaperone,-1.3796,5.647890e-1,7.077963e-1
CCT3,"molecular chaperone, org=Homo sapiens",Chaperone,1.6216,2.934235e-1,4.714283e-1
CCT4,"molecular chaperone, org=Homo sapiens",Chaperone,-1.4871,1.391638e-1,2.831141e-1
CCT5,"molecular chaperone, org=Homo sapiens",Chaperone,1.7228,5.020328e-2,1.282727e-1
CCT6A,"molecular chaperone, org=Homo sapiens",Chaperone,-1.8278,3.700280e-1,5.433323e-1
CCT7,"molecular chaperone, org=Homo sapiens",Chaperone,1.5393,1.267052e-1,2.624607e-1
CCT8,"molecular chaperone, org=Homo sapiens",Chaperone,1.3459,4.377101e-1,6.017096e-1
TCP1,"molecular chaperone, org=Homo sapiens",Chaperone,1.0916,6.366712e-1,7.598134e-1
DNAJA1,"molecular chaperone, org=Homo sapiens",Chaperone,1.5099,1.324268e-1,2.723671e-1
DNAJA2,"molecular chaperone, org=Homo sapiens",Chaperone,-1.5915,3.472304e-1,5.272084e-1
DNAJB1,"molecular chaperone, org=Homo sapiens",Chaperone,-1.5266,2.813545e-1,4.596777e-1
BAG2,"molecular chaperone, org=Homo sapiens",Chaperone,1.4216,1.690477e-1,3.246612e-1
BAG3,"molecular chaperone, org=Homo sapiens",Chaperone,-1.0108,9.781941e-1,9.901696e-1
STIP1,"molecular chaperone, org=Homo sapiens",Chaperone,5.5119,4.503651e-3,1.839096e-2
AHSA1,"molecular chaperone, org=Homo sapiens",Chaperone,-1.3992,4.864777e-1,6.456684e-1
PTGES3,"molecular chaperone, org=Homo sapiens",Chaperone,1.1577,6.045652e-1,7.351108e-1
CDC37,"molecular chaperone, org=Homo sapiens",Chaperone,-1.0972,8.629047e-1,9.200087e-1
ST13,"molecular chaperone, org=Homo sapiens",Chaperone,1.2125,3.553613e-1,5.325829e-1
CLTC,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,5.2443,1.950717e-2,5.954820e-2
CLTA,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,3.9750,1.112417e-2,3.934159e-2
AP2M1,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-4.1003,1.041023e-2,3.750269e-2
AP2B1,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.4690,4.347017e-1,6.017096e-1
AP1B1,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-1.2888,2.654571e-1,4.443814e-1
AP3B1,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.5624,1.296076e-1,2.675176e-1
RAB1A,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,1.2583,3.784940e-1,5.488163e-1
RAB5C,"vesicle trafficking protein, org=Homo sapiens",Vesicle traffic,-2.0096,3.363558e-1,5.202303e-1
